class	Structured comment name	Definition	Frequency
sediment	ph	Ph measurement of the sample, or liquid portion of sample, or aqueous phase of the fluid	0.8888888888888888
soil	ph	Ph measurement of the sample, or liquid portion of sample, or aqueous phase of the fluid	0.8888888888888888
wastewater/sludge	ph	Ph measurement of the sample, or liquid portion of sample, or aqueous phase of the fluid	0.8888888888888888
water	ph	Ph measurement of the sample, or liquid portion of sample, or aqueous phase of the fluid	0.8888888888888888
food-farm environment	ph	pH measurement of the sample, or liquid portion of sample, or aqueous phase of the fluid.	0.1111111111111111
food-farm environment	ph_meth	Reference or method used in determining pH.	0.3333333333333333
agriculture	ph_meth	Reference or method used in determining ph	0.6666666666666666
soil	ph_meth	Reference or method used in determining ph	0.6666666666666666
agriculture	pool_dna_extracts	Indicate whether multiple DNA extractions were mixed. If the answer yes, the number of extracts that were pooled should be given	0.4
soil	pool_dna_extracts	Indicate whether multiple DNA extractions were mixed. If the answer yes, the number of extracts that were pooled should be given	0.4
food-animal and animal feed	pool_dna_extracts	Indicate whether multiple DNA extractions were mixed. If the answer yes, the number of extracts that were pooled should be given.	0.6
food-food production facility	pool_dna_extracts	Indicate whether multiple DNA extractions were mixed. If the answer yes, the number of extracts that were pooled should be given.	0.6
food-human foods	pool_dna_extracts	Indicate whether multiple DNA extractions were mixed. If the answer yes, the number of extracts that were pooled should be given.	0.6
hydrocarbon resources-cores	porosity	Porosity of deposited sediment is volume of voids divided by the total volume of sample	0.6666666666666666
sediment	porosity	Porosity of deposited sediment is volume of voids divided by the total volume of sample	0.6666666666666666
agriculture	porosity	Porosity of deposited sediment is volume of voids divided by the total volume of sample.	0.3333333333333333
agriculture	previous_land_use	Previous land use and dates	0.6666666666666666
soil	previous_land_use	Previous land use and dates	0.6666666666666666
food-farm environment	previous_land_use	Previous land use and dates.	0.3333333333333333
migs_ba	project_name	Name of the project within which the sequencing was organized	0.3333333333333333
migs_eu	project_name	Name of the project within which the sequencing was organized	0.3333333333333333
migs_org	project_name	Name of the project within which the sequencing was organized	0.3333333333333333
migs_pl	project_name	Name of the project within which the sequencing was organized	0.3333333333333333
migs_vi	project_name	Name of the project within which the sequencing was organized	0.3333333333333333
mimag	project_name	Name of the project within which the sequencing was organized	0.3333333333333333
mimarks_c	project_name	Name of the project within which the sequencing was organized	0.3333333333333333
mimarks_s	project_name	Name of the project within which the sequencing was organized	0.3333333333333333
mims	project_name	Name of the project within which the sequencing was organized	0.3333333333333333
misag	project_name	Name of the project within which the sequencing was organized	0.3333333333333333
miuvig	project_name	Name of the project within which the sequencing was organized	0.3333333333333333
air	project_name	Name of the project within which the sequencing was organized.	0.6666666666666666
built environment	project_name	Name of the project within which the sequencing was organized.	0.6666666666666666
food-animal and animal feed	project_name	Name of the project within which the sequencing was organized.	0.6666666666666666
food-farm environment	project_name	Name of the project within which the sequencing was organized.	0.6666666666666666
food-food production facility	project_name	Name of the project within which the sequencing was organized.	0.6666666666666666
food-human foods	project_name	Name of the project within which the sequencing was organized.	0.6666666666666666
host-associated	project_name	Name of the project within which the sequencing was organized.	0.6666666666666666
human-associated	project_name	Name of the project within which the sequencing was organized.	0.6666666666666666
human-gut	project_name	Name of the project within which the sequencing was organized.	0.6666666666666666
human-oral	project_name	Name of the project within which the sequencing was organized.	0.6666666666666666
human-skin	project_name	Name of the project within which the sequencing was organized.	0.6666666666666666
human-vaginal	project_name	Name of the project within which the sequencing was organized.	0.6666666666666666
hydrocarbon resources-cores	project_name	Name of the project within which the sequencing was organized.	0.6666666666666666
hydrocarbon resources-fluids/swabs	project_name	Name of the project within which the sequencing was organized.	0.6666666666666666
microbial mat/biofilm	project_name	Name of the project within which the sequencing was organized.	0.6666666666666666
miscellaneous natural or artificial environment	project_name	Name of the project within which the sequencing was organized.	0.6666666666666666
plant-associated	project_name	Name of the project within which the sequencing was organized.	0.6666666666666666
sediment	project_name	Name of the project within which the sequencing was organized.	0.6666666666666666
soil	project_name	Name of the project within which the sequencing was organized.	0.6666666666666666
symbiont-associated	project_name	Name of the project within which the sequencing was organized.	0.6666666666666666
wastewater/sludge	project_name	Name of the project within which the sequencing was organized.	0.6666666666666666
water	project_name	Name of the project within which the sequencing was organized.	0.6666666666666666
agriculture	rel_location	Location of sampled soil to other parts of the farm e.g. under crop plant, near irrigation ditch, from the dirt road	0.5
food-farm environment	rel_location	Location of sampled soil to other parts of the farm e.g. under crop plant, near irrigation ditch, from the dirt road.	0.5
food-farm environment	root_med_macronutr	Measurement of the culture rooting medium macronutrients (N,P, K, Ca, Mg, S); e.g. KH2PO4 (170 mg/L).	0.3333333333333333
agriculture	root_med_macronutr	Measurement of the culture rooting medium macronutrients (N,P, K, Ca, Mg, S); e.g. KH2PO4 (170¬†mg/L).	0.6666666666666666
plant-associated	root_med_macronutr	Measurement of the culture rooting medium macronutrients (N,P, K, Ca, Mg, S); e.g. KH2PO4 (170¬†mg/L).	0.6666666666666666
food-farm environment	root_med_micronutr	Measurement of the culture rooting medium micronutrients (Fe, Mn, Zn, B, Cu, Mo); e.g. H3BO3 (6.2 mg/L).	0.5
plant-associated	root_med_micronutr	Measurement of the culture rooting medium micronutrients (Fe, Mn, Zn, B, Cu, Mo); e.g. H3BO3 (6.2¬†mg/L).	0.5
food-food production facility	samp_collect_device	The device employed for collecting the sample.	0.0625
agriculture	samp_collect_device	The device used to collect an environmental sample. This field accepts terms listed under environmental sampling device (http://purl.obolibrary.org/obo/ENVO). This field also accepts terms listed under specimen collection device (http://purl.obolibrary.org/obo/GENEPIO_0002094).	0.9375
food-animal and animal feed	samp_collect_device	The device used to collect an environmental sample. This field accepts terms listed under environmental sampling device (http://purl.obolibrary.org/obo/ENVO). This field also accepts terms listed under specimen collection device (http://purl.obolibrary.org/obo/GENEPIO_0002094).	0.9375
food-farm environment	samp_collect_device	The device used to collect an environmental sample. This field accepts terms listed under environmental sampling device (http://purl.obolibrary.org/obo/ENVO). This field also accepts terms listed under specimen collection device (http://purl.obolibrary.org/obo/GENEPIO_0002094).	0.9375
food-human foods	samp_collect_device	The device used to collect an environmental sample. This field accepts terms listed under environmental sampling device (http://purl.obolibrary.org/obo/ENVO). This field also accepts terms listed under specimen collection device (http://purl.obolibrary.org/obo/GENEPIO_0002094).	0.9375
migs_ba	samp_collect_device	The device used to collect an environmental sample. This field accepts terms listed under environmental sampling device (http://purl.obolibrary.org/obo/ENVO). This field also accepts terms listed under specimen collection device (http://purl.obolibrary.org/obo/GENEPIO_0002094).	0.9375
migs_eu	samp_collect_device	The device used to collect an environmental sample. This field accepts terms listed under environmental sampling device (http://purl.obolibrary.org/obo/ENVO). This field also accepts terms listed under specimen collection device (http://purl.obolibrary.org/obo/GENEPIO_0002094).	0.9375
migs_org	samp_collect_device	The device used to collect an environmental sample. This field accepts terms listed under environmental sampling device (http://purl.obolibrary.org/obo/ENVO). This field also accepts terms listed under specimen collection device (http://purl.obolibrary.org/obo/GENEPIO_0002094).	0.9375
migs_pl	samp_collect_device	The device used to collect an environmental sample. This field accepts terms listed under environmental sampling device (http://purl.obolibrary.org/obo/ENVO). This field also accepts terms listed under specimen collection device (http://purl.obolibrary.org/obo/GENEPIO_0002094).	0.9375
migs_vi	samp_collect_device	The device used to collect an environmental sample. This field accepts terms listed under environmental sampling device (http://purl.obolibrary.org/obo/ENVO). This field also accepts terms listed under specimen collection device (http://purl.obolibrary.org/obo/GENEPIO_0002094).	0.9375
mimag	samp_collect_device	The device used to collect an environmental sample. This field accepts terms listed under environmental sampling device (http://purl.obolibrary.org/obo/ENVO). This field also accepts terms listed under specimen collection device (http://purl.obolibrary.org/obo/GENEPIO_0002094).	0.9375
mimarks_c	samp_collect_device	The device used to collect an environmental sample. This field accepts terms listed under environmental sampling device (http://purl.obolibrary.org/obo/ENVO). This field also accepts terms listed under specimen collection device (http://purl.obolibrary.org/obo/GENEPIO_0002094).	0.9375
mimarks_s	samp_collect_device	The device used to collect an environmental sample. This field accepts terms listed under environmental sampling device (http://purl.obolibrary.org/obo/ENVO). This field also accepts terms listed under specimen collection device (http://purl.obolibrary.org/obo/GENEPIO_0002094).	0.9375
mims	samp_collect_device	The device used to collect an environmental sample. This field accepts terms listed under environmental sampling device (http://purl.obolibrary.org/obo/ENVO). This field also accepts terms listed under specimen collection device (http://purl.obolibrary.org/obo/GENEPIO_0002094).	0.9375
misag	samp_collect_device	The device used to collect an environmental sample. This field accepts terms listed under environmental sampling device (http://purl.obolibrary.org/obo/ENVO). This field also accepts terms listed under specimen collection device (http://purl.obolibrary.org/obo/GENEPIO_0002094).	0.9375
miuvig	samp_collect_device	The device used to collect an environmental sample. This field accepts terms listed under environmental sampling device (http://purl.obolibrary.org/obo/ENVO). This field also accepts terms listed under specimen collection device (http://purl.obolibrary.org/obo/GENEPIO_0002094).	0.9375
built environment	samp_floor	The floor of the building, where the sampling room is located	0.5
food-food production facility	samp_floor	The floor of the building, where the sampling room is located.	0.5
built environment	samp_room_id	Sampling room number. This ID should be consistent with the designations on the building floor plans	0.5
food-food production facility	samp_room_id	Sampling room number. This ID should be consistent with the designations on the building floor plans.	0.5
food-food production facility	samp_source_mat_cat	This is the scientific role or category that the subject organism or material has with respect to an investigation.  This field accepts terms listed under specimen (http://purl.obolibrary.org/obo/GENEPIO_0001237 or http://purl.obolibrary.org/obo/OBI_0100051).	0.25
food-animal and animal feed	samp_source_mat_cat	This is the scientific role or category that the subject organism or material has with respect to an investigation.  This field accepts terms listed under specimen source material category (http://purl.obolibrary.org/obo/GENEPIO_0001237 or http://purl.obolibrary.org/obo/OBI_0100051).	0.75
food-farm environment	samp_source_mat_cat	This is the scientific role or category that the subject organism or material has with respect to an investigation.  This field accepts terms listed under specimen source material category (http://purl.obolibrary.org/obo/GENEPIO_0001237 or http://purl.obolibrary.org/obo/OBI_0100051).	0.75
food-human foods	samp_source_mat_cat	This is the scientific role or category that the subject organism or material has with respect to an investigation.  This field accepts terms listed under specimen source material category (http://purl.obolibrary.org/obo/GENEPIO_0001237 or http://purl.obolibrary.org/obo/OBI_0100051).	0.75
agriculture	samp_store_dur	Duration for which the sample was stored	0.9411764705882353
air	samp_store_dur	Duration for which the sample was stored	0.9411764705882353
host-associated	samp_store_dur	Duration for which the sample was stored	0.9411764705882353
human-associated	samp_store_dur	Duration for which the sample was stored	0.9411764705882353
human-gut	samp_store_dur	Duration for which the sample was stored	0.9411764705882353
human-oral	samp_store_dur	Duration for which the sample was stored	0.9411764705882353
human-skin	samp_store_dur	Duration for which the sample was stored	0.9411764705882353
human-vaginal	samp_store_dur	Duration for which the sample was stored	0.9411764705882353
hydrocarbon resources-cores	samp_store_dur	Duration for which the sample was stored	0.9411764705882353
hydrocarbon resources-fluids/swabs	samp_store_dur	Duration for which the sample was stored	0.9411764705882353
microbial mat/biofilm	samp_store_dur	Duration for which the sample was stored	0.9411764705882353
miscellaneous natural or artificial environment	samp_store_dur	Duration for which the sample was stored	0.9411764705882353
plant-associated	samp_store_dur	Duration for which the sample was stored	0.9411764705882353
sediment	samp_store_dur	Duration for which the sample was stored	0.9411764705882353
wastewater/sludge	samp_store_dur	Duration for which the sample was stored	0.9411764705882353
water	samp_store_dur	Duration for which the sample was stored	0.9411764705882353
symbiont-associated	samp_store_dur	Duration for which the sample was stored.	0.058823529411764705
agriculture	samp_store_loc	Location at which sample was stored, usually name of a specific freezer/room	0.9411764705882353
air	samp_store_loc	Location at which sample was stored, usually name of a specific freezer/room	0.9411764705882353
host-associated	samp_store_loc	Location at which sample was stored, usually name of a specific freezer/room	0.9411764705882353
human-associated	samp_store_loc	Location at which sample was stored, usually name of a specific freezer/room	0.9411764705882353
human-gut	samp_store_loc	Location at which sample was stored, usually name of a specific freezer/room	0.9411764705882353
human-oral	samp_store_loc	Location at which sample was stored, usually name of a specific freezer/room	0.9411764705882353
human-skin	samp_store_loc	Location at which sample was stored, usually name of a specific freezer/room	0.9411764705882353
human-vaginal	samp_store_loc	Location at which sample was stored, usually name of a specific freezer/room	0.9411764705882353
hydrocarbon resources-cores	samp_store_loc	Location at which sample was stored, usually name of a specific freezer/room	0.9411764705882353
hydrocarbon resources-fluids/swabs	samp_store_loc	Location at which sample was stored, usually name of a specific freezer/room	0.9411764705882353
microbial mat/biofilm	samp_store_loc	Location at which sample was stored, usually name of a specific freezer/room	0.9411764705882353
miscellaneous natural or artificial environment	samp_store_loc	Location at which sample was stored, usually name of a specific freezer/room	0.9411764705882353
plant-associated	samp_store_loc	Location at which sample was stored, usually name of a specific freezer/room	0.9411764705882353
sediment	samp_store_loc	Location at which sample was stored, usually name of a specific freezer/room	0.9411764705882353
wastewater/sludge	samp_store_loc	Location at which sample was stored, usually name of a specific freezer/room	0.9411764705882353
water	samp_store_loc	Location at which sample was stored, usually name of a specific freezer/room	0.9411764705882353
symbiont-associated	samp_store_loc	Location at which sample was stored, usually name of a specific freezer/room.	0.058823529411764705
air	samp_store_temp	Temperature at which sample was stored, e.g. -80 degree Celsius	0.9375
host-associated	samp_store_temp	Temperature at which sample was stored, e.g. -80 degree Celsius	0.9375
human-associated	samp_store_temp	Temperature at which sample was stored, e.g. -80 degree Celsius	0.9375
human-gut	samp_store_temp	Temperature at which sample was stored, e.g. -80 degree Celsius	0.9375
human-oral	samp_store_temp	Temperature at which sample was stored, e.g. -80 degree Celsius	0.9375
human-skin	samp_store_temp	Temperature at which sample was stored, e.g. -80 degree Celsius	0.9375
human-vaginal	samp_store_temp	Temperature at which sample was stored, e.g. -80 degree Celsius	0.9375
hydrocarbon resources-cores	samp_store_temp	Temperature at which sample was stored, e.g. -80 degree Celsius	0.9375
hydrocarbon resources-fluids/swabs	samp_store_temp	Temperature at which sample was stored, e.g. -80 degree Celsius	0.9375
microbial mat/biofilm	samp_store_temp	Temperature at which sample was stored, e.g. -80 degree Celsius	0.9375
miscellaneous natural or artificial environment	samp_store_temp	Temperature at which sample was stored, e.g. -80 degree Celsius	0.9375
plant-associated	samp_store_temp	Temperature at which sample was stored, e.g. -80 degree Celsius	0.9375
sediment	samp_store_temp	Temperature at which sample was stored, e.g. -80 degree Celsius	0.9375
wastewater/sludge	samp_store_temp	Temperature at which sample was stored, e.g. -80 degree Celsius	0.9375
water	samp_store_temp	Temperature at which sample was stored, e.g. -80 degree Celsius	0.9375
symbiont-associated	samp_store_temp	Temperature at which sample was stored, e.g. -80 degree Celsius.	0.0625
agriculture	samp_vol_we_dna_ext	Volume (ml) or mass (g) of total collected sample processed for DNA extraction. Note: total sample collected should be entered under the term Sample Size (MIXS:0000001).	0.9696969696969697
air	samp_vol_we_dna_ext	Volume (ml) or mass (g) of total collected sample processed for DNA extraction. Note: total sample collected should be entered under the term Sample Size (MIXS:0000001).	0.9696969696969697
food-animal and animal feed	samp_vol_we_dna_ext	Volume (ml) or mass (g) of total collected sample processed for DNA extraction. Note: total sample collected should be entered under the term Sample Size (MIXS:0000001).	0.9696969696969697
food-farm environment	samp_vol_we_dna_ext	Volume (ml) or mass (g) of total collected sample processed for DNA extraction. Note: total sample collected should be entered under the term Sample Size (MIXS:0000001).	0.9696969696969697
food-food production facility	samp_vol_we_dna_ext	Volume (ml) or mass (g) of total collected sample processed for DNA extraction. Note: total sample collected should be entered under the term Sample Size (MIXS:0000001).	0.9696969696969697
food-human foods	samp_vol_we_dna_ext	Volume (ml) or mass (g) of total collected sample processed for DNA extraction. Note: total sample collected should be entered under the term Sample Size (MIXS:0000001).	0.9696969696969697
host-associated	samp_vol_we_dna_ext	Volume (ml) or mass (g) of total collected sample processed for DNA extraction. Note: total sample collected should be entered under the term Sample Size (MIXS:0000001).	0.9696969696969697
human-associated	samp_vol_we_dna_ext	Volume (ml) or mass (g) of total collected sample processed for DNA extraction. Note: total sample collected should be entered under the term Sample Size (MIXS:0000001).	0.9696969696969697
human-gut	samp_vol_we_dna_ext	Volume (ml) or mass (g) of total collected sample processed for DNA extraction. Note: total sample collected should be entered under the term Sample Size (MIXS:0000001).	0.9696969696969697
human-oral	samp_vol_we_dna_ext	Volume (ml) or mass (g) of total collected sample processed for DNA extraction. Note: total sample collected should be entered under the term Sample Size (MIXS:0000001).	0.9696969696969697
human-skin	samp_vol_we_dna_ext	Volume (ml) or mass (g) of total collected sample processed for DNA extraction. Note: total sample collected should be entered under the term Sample Size (MIXS:0000001).	0.9696969696969697
human-vaginal	samp_vol_we_dna_ext	Volume (ml) or mass (g) of total collected sample processed for DNA extraction. Note: total sample collected should be entered under the term Sample Size (MIXS:0000001).	0.9696969696969697
hydrocarbon resources-cores	samp_vol_we_dna_ext	Volume (ml) or mass (g) of total collected sample processed for DNA extraction. Note: total sample collected should be entered under the term Sample Size (MIXS:0000001).	0.9696969696969697
hydrocarbon resources-fluids/swabs	samp_vol_we_dna_ext	Volume (ml) or mass (g) of total collected sample processed for DNA extraction. Note: total sample collected should be entered under the term Sample Size (MIXS:0000001).	0.9696969696969697
microbial mat/biofilm	samp_vol_we_dna_ext	Volume (ml) or mass (g) of total collected sample processed for DNA extraction. Note: total sample collected should be entered under the term Sample Size (MIXS:0000001).	0.9696969696969697
migs_ba	samp_vol_we_dna_ext	Volume (ml) or mass (g) of total collected sample processed for DNA extraction. Note: total sample collected should be entered under the term Sample Size (MIXS:0000001).	0.9696969696969697
migs_eu	samp_vol_we_dna_ext	Volume (ml) or mass (g) of total collected sample processed for DNA extraction. Note: total sample collected should be entered under the term Sample Size (MIXS:0000001).	0.9696969696969697
migs_org	samp_vol_we_dna_ext	Volume (ml) or mass (g) of total collected sample processed for DNA extraction. Note: total sample collected should be entered under the term Sample Size (MIXS:0000001).	0.9696969696969697
migs_pl	samp_vol_we_dna_ext	Volume (ml) or mass (g) of total collected sample processed for DNA extraction. Note: total sample collected should be entered under the term Sample Size (MIXS:0000001).	0.9696969696969697
migs_vi	samp_vol_we_dna_ext	Volume (ml) or mass (g) of total collected sample processed for DNA extraction. Note: total sample collected should be entered under the term Sample Size (MIXS:0000001).	0.9696969696969697
mimag	samp_vol_we_dna_ext	Volume (ml) or mass (g) of total collected sample processed for DNA extraction. Note: total sample collected should be entered under the term Sample Size (MIXS:0000001).	0.9696969696969697
mimarks_c	samp_vol_we_dna_ext	Volume (ml) or mass (g) of total collected sample processed for DNA extraction. Note: total sample collected should be entered under the term Sample Size (MIXS:0000001).	0.9696969696969697
mimarks_s	samp_vol_we_dna_ext	Volume (ml) or mass (g) of total collected sample processed for DNA extraction. Note: total sample collected should be entered under the term Sample Size (MIXS:0000001).	0.9696969696969697
mims	samp_vol_we_dna_ext	Volume (ml) or mass (g) of total collected sample processed for DNA extraction. Note: total sample collected should be entered under the term Sample Size (MIXS:0000001).	0.9696969696969697
misag	samp_vol_we_dna_ext	Volume (ml) or mass (g) of total collected sample processed for DNA extraction. Note: total sample collected should be entered under the term Sample Size (MIXS:0000001).	0.9696969696969697
miscellaneous natural or artificial environment	samp_vol_we_dna_ext	Volume (ml) or mass (g) of total collected sample processed for DNA extraction. Note: total sample collected should be entered under the term Sample Size (MIXS:0000001).	0.9696969696969697
miuvig	samp_vol_we_dna_ext	Volume (ml) or mass (g) of total collected sample processed for DNA extraction. Note: total sample collected should be entered under the term Sample Size (MIXS:0000001).	0.9696969696969697
plant-associated	samp_vol_we_dna_ext	Volume (ml) or mass (g) of total collected sample processed for DNA extraction. Note: total sample collected should be entered under the term Sample Size (MIXS:0000001).	0.9696969696969697
sediment	samp_vol_we_dna_ext	Volume (ml) or mass (g) of total collected sample processed for DNA extraction. Note: total sample collected should be entered under the term Sample Size (MIXS:0000001).	0.9696969696969697
soil	samp_vol_we_dna_ext	Volume (ml) or mass (g) of total collected sample processed for DNA extraction. Note: total sample collected should be entered under the term Sample Size (MIXS:0000001).	0.9696969696969697
wastewater/sludge	samp_vol_we_dna_ext	Volume (ml) or mass (g) of total collected sample processed for DNA extraction. Note: total sample collected should be entered under the term Sample Size (MIXS:0000001).	0.9696969696969697
water	samp_vol_we_dna_ext	Volume (ml) or mass (g) of total collected sample processed for DNA extraction. Note: total sample collected should be entered under the term Sample Size (MIXS:0000001).	0.9696969696969697
symbiont-associated	samp_vol_we_dna_ext	Volume (ml), weight (g) of processed sample, or surface area swabbed from sample for DNA extraction.	0.030303030303030304
food-farm environment	season_temp	Mean seasonal air temperature.	0.3333333333333333
agriculture	season_temp	Mean seasonal temperature	0.6666666666666666
soil	season_temp	Mean seasonal temperature	0.6666666666666666
agriculture	size_frac_low	Refers to the mesh/pore size used to pre-filter/pre-sort the sample. Materials larger than the size threshold are excluded from the sample	0.6666666666666666
water	size_frac_low	Refers to the mesh/pore size used to pre-filter/pre-sort the sample. Materials larger than the size threshold are excluded from the sample	0.6666666666666666
food-farm environment	size_frac_low	Refers to the mesh/pore size used to pre-filter/pre-sort the sample. Materials larger than the size threshold are excluded from the sample.	0.3333333333333333
agriculture	size_frac_up	Refers to the mesh/pore size used to retain the sample. Materials smaller than the size threshold are excluded from the sample	0.6666666666666666
water	size_frac_up	Refers to the mesh/pore size used to retain the sample. Materials smaller than the size threshold are excluded from the sample	0.6666666666666666
food-farm environment	size_frac_up	Refers to the mesh/pore size used to retain the sample. Materials smaller than the size threshold are excluded from the sample.	0.3333333333333333
food-farm environment	soil_conductivity	Conductivity of soil at time of sampling.	0.5
agriculture	soil_conductivity	Conductivity of some soil.	0.5
soil	soil_horizon	Specific layer in the land area which measures parallel to the soil surface and possesses physical characteristics which differ from the layers above and beneath	0.5
agriculture	soil_horizon	soil horizon is defined as the layer parallel to the soil surface whose physical, chemical and biological characteristics differ from the layers above and beneath. Horizon can be described both in absolute terms (particle size distribution for texture, for instance) and in terms relative to the surrounding material, i.e. ‘coarser’ or ‘sandier’ than the horizons above and below.	0.5
food-farm environment	soil_pH	The pH of soil at time of sampling.	0.5
agriculture	soil_pH	pH of some soil.	0.5
soil	soil_texture_meth	Reference or method used in determining soil texture	0.5
food-farm environment	soil_texture_meth	Reference or method used in determining soil texture classification.	0.5
food-farm environment	soil_type	Description of the soil type or classification. This field accepts terms under soil (http://purl.obolibrary.org/obo/ENVO_00001998).  Multiple terms can be separated by pipes.	0.6666666666666666
soil	soil_type	Description of the soil type or classification. This field accepts terms under soil (http://purl.obolibrary.org/obo/ENVO_00001998).  Multiple terms can be separated by pipes.	0.6666666666666666
agriculture	soil_type	Soil series name or other lower-level classification	0.3333333333333333
agriculture	soil_type_meth	Reference or method used in determining soil series name or other lower-level classification	0.6666666666666666
soil	soil_type_meth	Reference or method used in determining soil series name or other lower-level classification	0.6666666666666666
food-farm environment	soil_type_meth	Reference or method used in determining soil series name or other lower-level classification.	0.3333333333333333
air	solar_irradiance	The amount of solar energy that arrives at a specific area of a surface during a specific time interval	0.6666666666666666
food-farm environment	solar_irradiance	The amount of solar energy that arrives at a specific area of a surface during a specific time interval	0.6666666666666666
agriculture	solar_irradiance	The amount of solar energy that arrives at a specific area of a surface during a specific time interval.	0.3333333333333333
food-animal and animal feed	spikein_count	Total cell count of any organism (or group of organisms) per gram, volume or area of sample, should include name of organism followed by count. The method that was used for the enumeration (e.g. qPCR, atp, mpn, etc.) should also be provided (example: total prokaryotes; 3.5e7 cells per ml; qPCR).	0.6666666666666666
food-human foods	spikein_count	Total cell count of any organism (or group of organisms) per gram, volume or area of sample, should include name of organism followed by count. The method that was used for the enumeration (e.g. qPCR, atp, mpn, etc.) should also be provided (example: total prokaryotes; 3.5e7 cells per ml; qPCR).	0.6666666666666666
food-farm environment	spikein_count	Total cell count of any organism (or group of organisms) per gram, volume or area of sample, should include name of organism followed by count. The method that was used for the enumeration (e.g. qPCR, atp, mpn, etc.) should also be provided. (example: total prokaryotes; 3.5e7 cells per ml; qPCR).	0.3333333333333333
built environment	surf_material	Surface materials at the point of sampling	0.5
food-food production facility	surf_material	Surface materials at the point of sampling.	0.5
air	temp	Temperature of the sample at the time of sampling	0.5
host-associated	temp	Temperature of the sample at the time of sampling	0.5
human-associated	temp	Temperature of the sample at the time of sampling	0.5
human-gut	temp	Temperature of the sample at the time of sampling	0.5
human-oral	temp	Temperature of the sample at the time of sampling	0.5
human-skin	temp	Temperature of the sample at the time of sampling	0.5
human-vaginal	temp	Temperature of the sample at the time of sampling	0.5
hydrocarbon resources-cores	temp	Temperature of the sample at the time of sampling	0.5
hydrocarbon resources-fluids/swabs	temp	Temperature of the sample at the time of sampling	0.5
microbial mat/biofilm	temp	Temperature of the sample at the time of sampling	0.5
miscellaneous natural or artificial environment	temp	Temperature of the sample at the time of sampling	0.5
plant-associated	temp	Temperature of the sample at the time of sampling	0.5
sediment	temp	Temperature of the sample at the time of sampling	0.5
soil	temp	Temperature of the sample at the time of sampling	0.5
wastewater/sludge	temp	Temperature of the sample at the time of sampling	0.5
water	temp	Temperature of the sample at the time of sampling	0.5
agriculture	temp	Temperature of the sample at the time of sampling.	0.5
food-animal and animal feed	temp	Temperature of the sample at the time of sampling.	0.5
food-farm environment	temp	Temperature of the sample at the time of sampling.	0.5
food-human foods	temp	Temperature of the sample at the time of sampling.	0.5
migs_ba	temp	Temperature of the sample at the time of sampling.	0.5
migs_eu	temp	Temperature of the sample at the time of sampling.	0.5
migs_org	temp	Temperature of the sample at the time of sampling.	0.5
migs_pl	temp	Temperature of the sample at the time of sampling.	0.5
migs_vi	temp	Temperature of the sample at the time of sampling.	0.5
mimag	temp	Temperature of the sample at the time of sampling.	0.5
mimarks_c	temp	Temperature of the sample at the time of sampling.	0.5
mimarks_s	temp	Temperature of the sample at the time of sampling.	0.5
mims	temp	Temperature of the sample at the time of sampling.	0.5
misag	temp	Temperature of the sample at the time of sampling.	0.5
miuvig	temp	Temperature of the sample at the time of sampling.	0.5
symbiont-associated	temp	Temperature of the sample at the time of sampling.	0.5
hydrocarbon resources-cores	tot_nitro	Total nitrogen concentration of water samples, calculated by: total nitrogen = total dissolved nitrogen + particulate nitrogen. Can also be measured without filtering, reported as nitrogen	0.8
hydrocarbon resources-fluids/swabs	tot_nitro	Total nitrogen concentration of water samples, calculated by: total nitrogen = total dissolved nitrogen + particulate nitrogen. Can also be measured without filtering, reported as nitrogen	0.8
wastewater/sludge	tot_nitro	Total nitrogen concentration of water samples, calculated by: total nitrogen = total dissolved nitrogen + particulate nitrogen. Can also be measured without filtering, reported as nitrogen	0.8
water	tot_nitro	Total nitrogen concentration of water samples, calculated by: total nitrogen = total dissolved nitrogen + particulate nitrogen. Can also be measured without filtering, reported as nitrogen	0.8
agriculture	tot_nitro	Total nitrogen content of the sample	0.2
soil	tot_nitro_cont_meth	Reference or method used in determining the total nitrogen	0.5
food-farm environment	tot_nitro_cont_meth	Reference or method used in determining the total nitrogen.	0.5
microbial mat/biofilm	tot_nitro_content	Total nitrogen content of the sample	0.75
sediment	tot_nitro_content	Total nitrogen content of the sample	0.75
soil	tot_nitro_content	Total nitrogen content of the sample	0.75
food-farm environment	tot_nitro_content	Total nitrogen content of the sample.	0.25
agriculture	tot_org_c_meth	Reference or method used in determining total organic carbon	0.6666666666666666
soil	tot_org_c_meth	Reference or method used in determining total organic carbon	0.6666666666666666
food-farm environment	tot_org_c_meth	Reference or method used in determining total organic carbon.	0.3333333333333333
agriculture	tot_org_carb	Definition for soil: total organic carbon content of the soil, definition otherwise: total organic carbon content	0.8
microbial mat/biofilm	tot_org_carb	Definition for soil: total organic carbon content of the soil, definition otherwise: total organic carbon content	0.8
sediment	tot_org_carb	Definition for soil: total organic carbon content of the soil, definition otherwise: total organic carbon content	0.8
soil	tot_org_carb	Definition for soil: total organic carbon content of the soil, definition otherwise: total organic carbon content	0.8
food-farm environment	tot_org_carb	Definition for soil: total organic carbon content of the soil, definition otherwise: total organic carbon content.	0.2
microbial mat/biofilm	turbidity	Measure of the amount of cloudiness or haziness in water caused by individual particles	0.75
sediment	turbidity	Measure of the amount of cloudiness or haziness in water caused by individual particles	0.75
