Environmental package	Structured comment name	Package item	Definition	Expected value	Value syntax	Example	Requirement	Preferred unit	Occurrence	MIXS ID	github ticket
agriculture	samp_pooling	sample pooling	"Physical combination of several instances of like material, e.g. RNA extracted from samples or dishes of cell cultures into one big aliquot of cells. Please provide a short description of the samples that were pooled."				C			MIXS:0001153	
food-animal and animal feed	samp_pooling	sample pooling	"Physical combination of several instances of like material, e.g. RNA extracted from samples or dishes of cell cultures into one big aliquot of cells. Please provide a short description of the samples that were pooled."	text	{text}	5uL of extracted genomic DNA from 5 leaves were pooled	X		m	MIXS:0001153	
food-farm environment	samp_pooling	sample pooling	"Physical combination of several instances of like material, e.g. RNA extracted from samples or dishes of cell cultures into one big aliquot of cells. Please provide a short description of the samples that were pooled."	text	{text}	5uL of extracted genomic DNA from 5 leaves were pooled	X		m	MIXS:0001153	
food-food production facility	samp_pooling	sample pooling	"Physical combination of several instances of like material, e.g. RNA extracted from samples or dishes of cell cultures into one big aliquot of cells. Please provide a short description of the samples that were pooled."	text	{text}	5uL of extracted genomic DNA from 5 leaves were pooled	X		m	MIXS:0001153	
food-human foods	samp_pooling	sample pooling	"Physical combination of several instances of like material, e.g. RNA extracted from samples or dishes of cell cultures into one big aliquot of cells. Please provide a short description of the samples that were pooled."	text	{text}	5uL of extracted genomic DNA from 5 leaves were pooled	X		m	MIXS:0001153	
food-animal and animal feed	samp_source_mat_cat	sample source material category	This is the scientific role or category that the subject organism or material has with respect to an investigation.  This field accepts terms listed under specimen source material category (http://purl.obolibrary.org/obo/GENEPIO_0001237 or http://purl.obolibrary.org/obo/OBI_0100051).	GENEPIO:0001237	{termLabel} {[termID]}	environmental (swab or sampling) [GENEPIO:0001732]	X		1	MIXS:0001154	
food-farm environment	samp_source_mat_cat	sample source material category	This is the scientific role or category that the subject organism or material has with respect to an investigation.  This field accepts terms listed under specimen source material category (http://purl.obolibrary.org/obo/GENEPIO_0001237 or http://purl.obolibrary.org/obo/OBI_0100051).	GENEPIO:0001237	{termLabel} {[termID]}	environmental (swab or sampling) [GENEPIO:0001732]	X		1	MIXS:0001154	
food-food production facility	samp_source_mat_cat	sample source material category	This is the scientific role or category that the subject organism or material has with respect to an investigation.  This field accepts terms listed under specimen (http://purl.obolibrary.org/obo/GENEPIO_0001237 or http://purl.obolibrary.org/obo/OBI_0100051).	OBI:0100051	{termLabel} {[termID]}	environmental swab specimen [OBI:0002613]	M		1	MIXS:0001154	
food-human foods	samp_source_mat_cat	sample source material category	This is the scientific role or category that the subject organism or material has with respect to an investigation.  This field accepts terms listed under specimen source material category (http://purl.obolibrary.org/obo/GENEPIO_0001237 or http://purl.obolibrary.org/obo/OBI_0100051).	GENEPIO:0001237	{termLabel} {[termID]}	environmental (swab or sampling) [GENEPIO:0001732]	X		1	MIXS:0001154	
food-animal and animal feed	sequencing_kit	sequencing kit	"Pre-filled, ready-to-use reagent cartridges. Used to produce improved chemistry, cluster density and read length as well as improve quality (Q) scores. Reagent components are encoded to interact with the sequencing system to validate compatibility with user-defined applications. Indicate name of the sequencing kit."	name of sequencing kit used	{text}	NextSeq 500/550 High Output Kit v2.5 (75 Cycles)	X		1	MIXS:0001155	
food-farm environment	sequencing_kit	sequencing kit	"Pre-filled, ready-to-use reagent cartridges. Used to produce improved chemistry, cluster density and read length as well as improve quality (Q) scores. Reagent components are encoded to interact with the sequencing system to validate compatibility with user-defined applications. Indicate name of the sequencing kit."	name of sequencing kit used	{text}	NextSeq 500/550 High Output Kit v2.5 (75 Cycles)	X		1	MIXS:0001155	
food-food production facility	sequencing_kit	sequencing kit	"Pre-filled, ready-to-use reagent cartridges. Used to produce improved chemistry, cluster density and read length as well as improve quality (Q) scores. Reagent components are encoded to interact with the sequencing system to validate compatibility with user-defined applications. Indicate name of the sequencing kit."	name of sequencing kit used	{text}	NextSeq 500/550 High Output Kit v2.5 (75 Cycles)	X		1	MIXS:0001155	
food-human foods	sequencing_kit	sequencing kit	"Pre-filled, ready-to-use reagent cartridges. Used to produce improved chemistry, cluster density and read length as well as improve quality (Q) scores. Reagent components are encoded to interact with the sequencing system to validate compatibility with user-defined applications. Indicate name of the sequencing kit."	name of sequencing kit used	{text}	NextSeq 500/550 High Output Kit v2.5 (75 Cycles)	X		1	MIXS:0001155	
agriculture	sequencing_location	sequencing location	The location the sequencing run was performed. Indicate the name of the lab or core facility where samples were sequenced.	text	{text}	University of Maryland Genomics Resource Center	X		1	MIXS:0001156	
food-animal and animal feed	sequencing_location	sequencing location	The location the sequencing run was performed. Indicate the name of the lab or core facility where samples were sequenced.	text	{text}	University of Maryland Genomics Resource Center	X		1	MIXS:0001156	
food-farm environment	sequencing_location	sequencing location	The location the sequencing run was performed. Indicate the name of the lab or core facility where samples were sequenced.	text	{text}	University of Maryland Genomics Resource Center	X		1	MIXS:0001156	
food-food production facility	sequencing_location	sequencing location	The location the sequencing run was performed. Indicate the name of the lab or core facility where samples were sequenced.	text	{text}	University of Maryland Genomics Resource Center	X		1	MIXS:0001156	
food-human foods	sequencing_location	sequencing location	The location the sequencing run was performed. Indicate the name of the lab or core facility where samples were sequenced.	text	{text}	University of Maryland Genomics Resource Center	X		1	MIXS:0001156	
food-animal and animal feed	serovar_or_serotype	serovar or serotype	A characterization of a cell or microorganism based on the antigenic properties of the molecules on its surface. Indicate the name of a serovar or serotype of interest. This field accepts terms under organism (http://purl.obolibrary.org/obo/NCIT_C14250). This field also accepts identification numbers from NCBI under https://www.ncbi.nlm.nih.gov/taxonomy.	NCIT:C14250 or NCBI taxid	{termLabel} {[termID]}|{integer}	Escherichia coli strain O157:H7 [NCIT:C86883]	X		m	MIXS:0001157	
food-farm environment	serovar_or_serotype	serovar or serotype	A characterization of a cell or microorganism based on the antigenic properties of the molecules on its surface. Indicate the name of a serovar or serotype of interest. This field accepts terms under organism (http://purl.obolibrary.org/obo/NCIT_C14250). This field also accepts identification numbers from NCBI under https://www.ncbi.nlm.nih.gov/taxonomy.	NCIT:C14250 or NCBI taxid	{termLabel} {[termID]}|{integer}	Escherichia coli strain O157:H7 [NCIT:C86883]	X		m	MIXS:0001157	
food-human foods	serovar_or_serotype	serovar or serotype	A characterization of a cell or microorganism based on the antigenic properties of the molecules on its surface. Indicate the name of a serovar or serotype of interest. This field accepts terms under organism (http://purl.obolibrary.org/obo/NCIT_C14250). This field also accepts identification numbers from NCBI under https://www.ncbi.nlm.nih.gov/taxonomy.	NCIT:C14250 or NCBI taxid	{termLabel} {[termID]}|{integer}	Escherichia coli strain O157:H7 [NCIT:C86883]	X		m	MIXS:0001157	
agriculture	soil_conductivity	soil conductivity	Conductivity of some soil.	measurement value			X			MIXS:0001158	
food-farm environment	soil_conductivity	soil conductivity	Conductivity of soil at time of sampling.	measurement value	{float} {unit}	10 milliSiemens per centimeter	X	milliSiemens per centimeter	1	MIXS:0001158	
agriculture	soil_cover	soil cover	"Description of the soil cover of the sampled soil and percent covered, e.g., bare soil [ENVO:01001616], vegetation (type), manure, irrigation pipe, etc."				C			MIXS:0001159	
food-farm environment	soil_cover	soil cover	"Description of the material covering the sampled soil. This field accepts terms under ENVO:00010483, environmental material."	ENVO:00010483	{termLabel} {[termID]}	bare soil [ENVO01001616]	X		1	MIXS:0001159	
agriculture	soil_pH	soil pH	pH of some soil.	measurement value			X			MIXS:0001160	
food-farm environment	soil_pH	soil pH	The pH of soil at time of sampling.	measurement value	{float}	7.2	X		1	MIXS:0001160	
agriculture	rel_location	relative location of sample	"Location of sampled soil to other parts of the farm e.g. under crop plant, near irrigation ditch, from the dirt road"	text		furrow	C			MIXS:0001161	
food-farm environment	rel_location	relative location of sample	"Location of sampled soil to other parts of the farm e.g. under crop plant, near irrigation ditch, from the dirt road."	text	{text}	furrow	X		1	MIXS:0001161	
food-farm environment	soil_porosity	soil sediment porosity	Porosity of soil or deposited sediment is volume of voids divided by the total volume of sample.	percent porosity	{percentage}	20%	X	percentage	1	MIXS:0001162	
agriculture	soil_temp	soil temperature	Temperature of soil at the time of sampling.	measurement value	{float}{unit}	25 degrees Celsius	X	degree Celsius	1	MIXS:0001163	
food-farm environment	soil_temp	soil temperature	Temperature of soil at the time of sampling.	measurement value	{float}{unit}	25 degrees Celsius	X	degree Celsius	m	MIXS:0001163	
food-farm environment	soil_texture_class	soil texture classification	"One of the 12 soil texture classes use to describe soil texture based on the relative proportion of different grain sizes  of mineral particles [sand (50 um to 2 mm), silt (2 um to 50 um), and clay (<2 um)] in a soil."	enumeration	[clay|clay loam|loam|loamy sand|sand|sandy clay|sandy clay loam|sandy loam|silt|silty clay|silty clay loam|silt loam]	silty clay loam	X		1	MIXS:0001164	
food-animal and animal feed	spikein_org	spike in organism	Taxonomic information about the spike-in organism(s). This field accepts terms under organism (http://purl.obolibrary.org/obo/NCIT_C14250). This field also accepts identification numbers from NCBI under https://www.ncbi.nlm.nih.gov/taxonomy. Multiple terms can be separated by pipes.	NCIT:C14250 or NCBI taxid	{termLabel} {[termID]}|{integer}	Listeria monocytogenes [NCIT:C86502]|28901	X		m	MIXS:0001167	
food-farm environment	spikein_org	spike in organism	Taxonomic information about the spike-in organism(s). This field accepts terms under organism (http://purl.obolibrary.org/obo/NCIT_C14250). This field also accepts identification numbers from NCBI under https://www.ncbi.nlm.nih.gov/taxonomy. Multiple terms can be separated by pipes.	NCIT:C14250 or NCBI taxid	{termLabel} {[termID]}|{integer}	Listeria monocytogenes [NCIT:C86502]|28901	X		m	MIXS:0001167	
food-human foods	spikein_org	spike in organism	Taxonomic information about the spike-in organism(s). This field accepts terms under organism (http://purl.obolibrary.org/obo/NCIT_C14250). This field also accepts identification numbers from NCBI under https://www.ncbi.nlm.nih.gov/taxonomy. Multiple terms can be separated by pipes.	NCIT:C14250 or NCBI taxid	{termLabel} {[termID]}|{integer}	Listeria monocytogenes [NCIT:C86502]|28901	X		m	MIXS:0001167	
food-animal and animal feed	spikein_serovar	spike-in bacterial serovar or serotype	Taxonomic information about the spike-in organism(s) at the serovar or serotype level. This field accepts terms under organism (http://purl.obolibrary.org/obo/NCIT_C14250). This field also accepts identification numbers from NCBI under https://www.ncbi.nlm.nih.gov/taxonomy. Multiple terms can be separated by pipes.	NCIT:C14250 or antigenic formula or serovar name	{termLabel} {[termID]}|{integer}	Escherichia coli strain O157:H7 [NCIT:C86883]|83334	X		m	MIXS:0001168	
food-farm environment	spikein_serovar	spike-in bacterial serovar or serotype	Taxonomic information about the spike-in organism(s) at the serovar or serotype level. This field accepts terms under organism (http://purl.obolibrary.org/obo/NCIT_C14250). This field also accepts identification numbers from NCBI under https://www.ncbi.nlm.nih.gov/taxonomy. Multiple terms can be separated by pipes.	NCIT:C14250 or antigenic formula or serovar name	{termLabel} {[termID]}|{integer}	Escherichia coli strain O157:H7 [NCIT:C86883]|83334	X		m	MIXS:0001168	
food-human foods	spikein_serovar	spike-in bacterial serovar or serotype	Taxonomic information about the spike-in organism(s) at the serovar or serotype level. This field accepts terms under organism (http://purl.obolibrary.org/obo/NCIT_C14250). This field also accepts identification numbers from NCBI under https://www.ncbi.nlm.nih.gov/taxonomy. Multiple terms can be separated by pipes.	NCIT:C14250 or antigenic formula or serovar name	{termLabel} {[termID]}|{integer}	Escherichia coli strain O157:H7 [NCIT:C86883]|83334	X		m	MIXS:0001168	
food-animal and animal feed	spikein_growth_med	spike-in growth medium	"A liquid or gel containing nutrients, salts, and other factors formulated to support the growth of microorganisms, cells, or plants (National Cancer Institute Thesaurus).  A growth medium is a culture medium which has the disposition to encourage growth of particular bacteria to the exclusion of others in the same growth environment.  In this case, list the culture medium used to propagate the spike-in bacteria during preparation of spike-in inoculum. This field accepts terms listed under microbiological culture medium (http://purl.obolibrary.org/obo/MICRO_0000067). If the proper descriptor is not listed please use text to describe the spike in growth media."	MICRO:0000067	{text}|{termLabel} {[termID]}	LB broth [MCO:0000036]	X		m	MIXS:0001169	
food-farm environment	spikein_growth_med	spike-in growth medium	"A liquid or gel containing nutrients, salts, and other factors formulated to support the growth of microorganisms, cells, or plants (National Cancer Institute Thesaurus).  A growth medium is a culture medium which has the disposition to encourage growth of particular bacteria to the exclusion of others in the same growth environment.  In this case, list the culture medium used to propagate the spike-in bacteria during preparation of spike-in inoculum. This field accepts terms listed under microbiological culture medium (http://purl.obolibrary.org/obo/MICRO_0000067). If the proper descriptor is not listed please use text to describe the spike in growth media."	MICRO:0000067	{text}|{termLabel} {[termID]}	LB broth [MCO:0000036]	X		m	MIXS:0001169	
food-human foods	spikein_growth_med	spike-in growth medium	"A liquid or gel containing nutrients, salts, and other factors formulated to support the growth of microorganisms, cells, or plants (National Cancer Institute Thesaurus).  A growth medium is a culture medium which has the disposition to encourage growth of particular bacteria to the exclusion of others in the same growth environment.  In this case, list the culture medium used to propagate the spike-in bacteria during preparation of spike-in inoculum. This field accepts terms listed under microbiological culture medium (http://purl.obolibrary.org/obo/MICRO_0000067). If the proper descriptor is not listed please use text to describe the spike in growth media."	MICRO:0000067	{text}|{termLabel} {[termID]}	LB broth [MCO:0000036]	X		m	MIXS:0001169	
agriculture	spikein_strain	spike-in microbial strain	Taxonomic information about the spike-in organism(s) at the strain level. This field accepts terms under organism (http://purl.obolibrary.org/obo/NCIT_C14250). This field also accepts identification numbers from NCBI under https://www.ncbi.nlm.nih.gov/taxonomy. Multiple terms can be separated by pipes.	NCIT:C14250 or NCBI taxid or text	{termLabel} {[termID]}|{integer}	169963	X		m	MIXS:0001170	#228
food-animal and animal feed	spikein_strain	spike-in microbial strain	Taxonomic information about the spike-in organism(s) at the strain level. This field accepts terms under organism (http://purl.obolibrary.org/obo/NCIT_C14250). This field also accepts identification numbers from NCBI under https://www.ncbi.nlm.nih.gov/taxonomy. Multiple terms can be separated by pipes.	NCIT:C14250 or NCBI taxid or text	{termLabel} {[termID]}|{integer}	169963	X		m	MIXS:0001170	
food-farm environment	spikein_strain	spike-in microbial strain	Taxonomic information about the spike-in organism(s) at the strain level. This field accepts terms under organism (http://purl.obolibrary.org/obo/NCIT_C14250). This field also accepts identification numbers from NCBI under https://www.ncbi.nlm.nih.gov/taxonomy. Multiple terms can be separated by pipes.	NCIT:C14250 or NCBI taxid or text	{termLabel} {[termID]}|{integer}	169963	X		m	MIXS:0001170	
food-human foods	spikein_strain	spike-in microbial strain	Taxonomic information about the spike-in organism(s) at the strain level. This field accepts terms under organism (http://purl.obolibrary.org/obo/NCIT_C14250). This field also accepts identification numbers from NCBI under https://www.ncbi.nlm.nih.gov/taxonomy. Multiple terms can be separated by pipes.	NCIT:C14250 or NCBI taxid or text	{termLabel} {[termID]}|{integer}	169963	X		m	MIXS:0001170	
food-animal and animal feed	spikein_antibiotic	spike-in with antibiotics	"Antimicrobials used in research study to assess effects of exposure on microbiome of a specific site.  Please list antimicrobial, common name and/or class and concentration used for spike-in."	drug name; concentration	{text} {integer}	Tetracycline at 5 mg/ml	X		m	MIXS:0001171	
food-farm environment	spikein_antibiotic	spike-in with antibiotics	"Antimicrobials used in research study to assess effects of exposure on microbiome of a specific site.  Please list antimicrobial, common name and/or class and concentration used for spike-in."	drug name; concentration	{text} {integer}	Tetracycline at 5 mg/ml	X		m	MIXS:0001171	
food-human foods	spikein_antibiotic	spike-in with antibiotics	"Antimicrobials used in research study to assess effects of exposure on microbiome of a specific site.  Please list antimicrobial, common name and/or class and concentration used for spike-in."	drug name; concentration	{text} {integer}	Tetracycline at 5 mg/ml	X		m	MIXS:0001171	
food-animal and animal feed	spikein_metal	spike-in with heavy metals	Heavy metals used in research study to assess effects of exposure on microbiome of a specific site.  Please list heavy metals and concentration used for spike-in.	heavy metal name or chemical symbol; concentration	{text} {integer}	Cd at 20 ppm	X		m	MIXS:0001172	
food-farm environment	spikein_metal	spike-in with heavy metals	Heavy metals used in research study to assess effects of exposure on microbiome of a specific site.  Please list heavy metals and concentration used for spike-in.	heavy metal name or chemical symbol; concentration	{text} {integer}	Cd at 20 ppm	X		m	MIXS:0001172	
food-human foods	spikein_metal	spike-in with heavy metals	Heavy metals used in research study to assess effects of exposure on microbiome of a specific site.  Please list heavy metals and concentration used for spike-in.	heavy metal name or chemical symbol; concentration	{text} {integer}	Cd at 20 ppm	X		m	MIXS:0001172	
food-animal and animal feed	timepoint	timepoint	Time point at which a sample or observation is made or taken from a biomaterial as measured from some reference point. Indicate the timepoint written in ISO 8601 format.	duration	{float}	P24H	X	hours or days	1	MIXS:0001173	
food-farm environment	timepoint	timepoint	Time point at which a sample or observation is made or taken from a biomaterial as measured from some reference point. Indicate the timepoint written in ISO 8601 format.	duration	{float}	P24H	X	hours or days	1	MIXS:0001173	
food-food production facility	timepoint	timepoint	Time point at which a sample or observation is made or taken from a biomaterial as measured from some reference point. Indicate the timepoint written in ISO 8601 format.	duration	{float}	P24H	X	hours or days	1	MIXS:0001173	
food-human foods	timepoint	timepoint	Time point at which a sample or observation is made or taken from a biomaterial as measured from some reference point. Indicate the timepoint written in ISO 8601 format.	duration	{float}	P24H	X	hours or days	1	MIXS:0001173	
food-farm environment	water_frequency	water delivery frequency	Number of water delivery events within a given period of time.	rate	{float}{unit}	2 per day	X	"per day, per week, per month"	1	MIXS:0001174	
agriculture	water_pH	water pH	"The pH measurement of the sample, or liquid portion of sample, or aqueous phase of the fluid."	measurement value	{float}	7.2	X			MIXS:0001175	
food-farm environment	water_pH	water pH	"pH measurement of the sample, or liquid portion of sample, or aqueous phase of the fluid."	measurement value	{float}	7.2	X		1	MIXS:0001175	
agriculture	water_source_shared	water source shared	Other users sharing access to the same water source. Multiple terms can be separated by one or more pipes.	enumeration	"[multiple users, agricutural|multiple users, other|no sharing]"	no sharing	X		m	MIXS:0001176	
food-farm environment	water_source_shared	water source shared	Other users sharing access to the same water source. Multiple terms can be separated by one or more pipes.	enumeration	"[multiple users, agricutural|multiple users, other|no sharing]"	no sharing	X		m	MIXS:0001176	
agriculture	enrichment_protocol	enrichment protocol	The microbiological workflow or protocol followed to test for the presence or enumeration of the target microbial analyte(s). Please provide a PubMed or DOI reference for published protocols.	"PMID,DOI,url or free text"	{PMID}|{DOI}|{URL}|{text}	BAM Chapter 4: Enumeration of Escherichia coli and the Coliform Bacteria	C		1	MIXS:0001177	
food-animal and animal feed	enrichment_protocol	enrichment protocol	The microbiological workflow or protocol followed to test for the presence or enumeration of the target microbial analyte(s). Please provide a PubMed or DOI reference for published protocols.	"PMID,DOI,url or free text"	{PMID}|{DOI}|{URL}|{text}	BAM Chapter 4: Enumeration of Escherichia coli and the Coliform Bacteria	X		1	MIXS:0001177	
food-farm environment	enrichment_protocol	enrichment protocol	The microbiological workflow or protocol followed to test for the presence or enumeration of the target microbial analyte(s).  Please provide a PubMed or DOI reference for published protocols.	"PMID,DOI,url or free text"	{PMID}|{DOI}|{URL}|{text}	BAM Chapter 4: Enumeration of Escherichia coli and the Coliform Bacteria	X		1	MIXS:0001177	
food-food production facility	enrichment_protocol	enrichment protocol	The microbiological workflow or protocol followed to test for the presence or enumeration of the target microbial analyte(s). Please provide a PubMed or DOI reference for published protocols.	"PMID,DOI,url or free text"	{PMID}|{DOI}|{URL}|{text}	BAM Chapter 4: Enumeration of Escherichia coli and the Coliform Bacteria	X		1	MIXS:0001177	
food-human foods	enrichment_protocol	enrichment protocol	The microbiological workflow or protocol followed to test for the presence or enumeration of the target microbial analyte(s). Please provide a PubMed or DOI reference for published protocols.	"PMID,DOI,url or free text"	{PMID}|{DOI}|{URL}|{text}	BAM Chapter 4: Enumeration of Escherichia coli and the Coliform Bacteria	X		1	MIXS:0001177	
food-animal and animal feed	food_quality_date	food quality date	"The date recommended for the use of the product while at peak quality, this date is not a reflection of safety unless used on infant formula this date is not a reflection of safety and is typically labeled on a food product as ""best if used by,"" best by,"" ""use by,"" or ""freeze by."""	"enumeration, date"	[best by|best if used by|freeze by||use by]; date	best by 2020-05-24	X		1	MIXS:0001178	
food-farm environment	food_quality_date	food quality date	"The date recommended for the use of the product while at peak quality, this date is not a reflection of safety unless used on infant formula this date is not a reflection of safety and is typically labeled on a food product as ""best if used by,"" best by,"" ""use by,"" or ""freeze by."""	"enumeration, date"	[best by|best if used by|freeze by||use by]; date	best by 2020-05-24	X		1	MIXS:0001178	
food-food production facility	food_quality_date	food quality date	"The date recommended for the use of the product while at peak quality, this date is not a reflection of safety unless used on infant formula this date is not a reflection of safety and is typically labeled on a food product as ""best if used by,"" best by,"" ""use by,"" or ""freeze by."""	"enumeration, date"	[best by|best if used by|freeze by||use by]; date	best by 2020-05-24	X		1	MIXS:0001178	
food-human foods	food_quality_date	food quality date	"The date recommended for the use of the product while at peak quality, this date is not a reflection of safety unless used on infant formula this date is not a reflection of safety and is typically labeled on a food product as ""best if used by,"" best by,"" ""use by,"" or ""freeze by."""	"enumeration, date"	[best by|best if used by|freeze by||use by]; date	best by 2020-05-24	X		1	MIXS:0001178	
food-animal and animal feed	IFSAC_category	Interagency Food Safety Analytics Collaboration (IFSAC) category	"The IFSAC food categorization scheme has five distinct levels to which foods can be assigned, depending upon the type of food. First, foods are assigned to one of four food groups (aquatic animals, land animals, plants, and other). Food groups include increasingly specific food categories; dairy, eggs, meat and poultry, and game are in the land animal food group, and the category meat and poultry is further subdivided into more specific categories of meat (beef, pork, other meat) and poultry (chicken, turkey, other poultry). Finally, foods are differentiated by differences in food processing (such as pasteurized fluid dairy products, unpasteurized fluid dairy products, pasteurized solid and semi-solid dairy products, and unpasteurized solid and semi-solid dairy products. An IFSAC food category chart is available from https://www.cdc.gov/foodsafety/ifsac/projects/food-categorization-scheme.html PMID: 28926300"	IFSAC term	{text}	Plants:Produce:Vegetables:Herbs:Dried Herbs	M		m	MIXS:0001179	
food-farm environment	IFSAC_category	Interagency Food Safety Analytics Collaboration (IFSAC) category	"The IFSAC food categorization scheme has five distinct levels to which foods can be assigned, depending upon the type of food. First, foods are assigned to one of four food groups (aquatic animals, land animals, plants, and other). Food groups include increasingly specific food categories; dairy, eggs, meat and poultry, and game are in the land animal food group, and the category meat and poultry is further subdivided into more specific categories of meat (beef, pork, other meat) and poultry (chicken, turkey, other poultry). Finally, foods are differentiated by differences in food processing (such as pasteurized fluid dairy products, unpasteurized fluid dairy products, pasteurized solid and semi-solid dairy products, and unpasteurized solid and semi-solid dairy products. An IFSAC food category chart is available from https://www.cdc.gov/foodsafety/ifsac/projects/food-categorization-scheme.html PMID: 28926300."	IFSAC term	{text}	Plants:Produce:Vegetables:Herbs:Dried Herbs	M		m	MIXS:0001179	
food-food production facility	IFSAC_category	Interagency Food Safety Analytics Collaboration (IFSAC) category	"The IFSAC food categorization scheme has five distinct levels to which foods can be assigned, depending upon the type of food. First, foods are assigned to one of four food groups (aquatic animals, land animals, plants, and other). Food groups include increasingly specific food categories; dairy, eggs, meat and poultry, and game are in the land animal food group, and the category meat and poultry is further subdivided into more specific categories of meat (beef, pork, other meat) and poultry (chicken, turkey, other poultry). Finally, foods are differentiated by differences in food processing (such as pasteurized fluid dairy products, unpasteurized fluid dairy products, pasteurized solid and semi-solid dairy products, and unpasteurized solid and semi-solid dairy products. An IFSAC food category chart is available from https://www.cdc.gov/foodsafety/ifsac/projects/food-categorization-scheme.html PMID: 28926300."	IFSAC term	{text}	Plants:Produce:Vegetables:Herbs:Dried Herbs	M		m	MIXS:0001179	
food-human foods	IFSAC_category	Interagency Food Safety Analytics Collaboration (IFSAC) category	"The IFSAC food categorization scheme has five distinct levels to which foods can be assigned, depending upon the type of food. First, foods are assigned to one of four food groups (aquatic animals, land animals, plants, and other). Food groups include increasingly specific food categories; dairy, eggs, meat and poultry, and game are in the land animal food group, and the category meat and poultry is further subdivided into more specific categories of meat (beef, pork, other meat) and poultry (chicken, turkey, other poultry). Finally, foods are differentiated by differences in food processing (such as pasteurized fluid dairy products, unpasteurized fluid dairy products, pasteurized solid and semi-solid dairy products, and unpasteurized solid and semi-solid dairy products. An IFSAC food category chart is available from https://www.cdc.gov/foodsafety/ifsac/projects/food-categorization-scheme.html PMID: 28926300."	IFSAC term	{text}	Plants:Produce:Vegetables:Herbs:Dried Herbs	M		m	MIXS:0001179	
food-animal and animal feed	animal_housing	animal housing system	Description of the housing system of the livestock. This field accepts terms listed under terrestrial management housing system (http://opendata.inra.fr/EOL/EOL_0001605).	EOL:0001605	{termLabel} {[termID]}	pen rearing system [EOL:0001636]	X		m	MIXS:0001180	
food-farm environment	animal_housing	animal housing system	Description of the housing system of the livestock. This field accepts terms listed under terrestrial management housing system (http://opendata.inra.fr/EOL/EOL_0001605).	EOL:0001605	{termLabel} {[termID]}	pen rearing system [EOL:0001636]	X		m	MIXS:0001180	
agriculture	cult_isol_date	culture isolation date	A culture isolation date is a date-time entity marking the end of a process in which a sample is isolated as a single colony or non-mixture culture	free text	YYYY-MM-DD	2/26/20	X			MIXS:0001181	
food-animal and animal feed	cult_isol_date	culture isolation date	A culture isolation date is a date-time entity marking the end of a process in which a sample yields a positive result for the target microbial analyte(s) in the form of an isolated colony or colonies.	date and time	{timestamp}	2018-05-11T10:00:00+01:00	X		1	MIXS:0001181	
food-farm environment	cult_isol_date	culture isolation date	A culture isolation date is a date-time entity marking the end of a process in which a sample yields a positive result for the target microbial analyte(s) in the form of an isolated colony or colonies.	date and time	{timestamp}	2018-05-11T10:00:00+01:00	X		1	MIXS:0001181	
food-food production facility	cult_isol_date	culture isolation date	A culture isolation date is a date-time entity marking the end of a process in which a sample yields a positive result for the target microbial analyte(s) in the form of an isolated colony or colonies.	date and time	{timestamp}	2018-05-11T10:00:00+01:00	X		1	MIXS:0001181	
food-human foods	cult_isol_date	culture isolation date	A culture isolation date is a date-time entity marking the end of a process in which a sample yields a positive result for the target microbial analyte(s) in the form of an isolated colony or colonies.	date and time	{timestamp}	2018-05-11T10:00:00+01:00	X		1	MIXS:0001181	
food-farm environment	food_clean_proc	food cleaning process	The process of cleaning food to separate other environmental materials from the food source. Multiple terms can be separated by pipes.	enumeration	[drum and drain|manual spinner|rinsed with sanitizer solution|rinsed with water|scrubbed with brush|scrubbed with hand|soaking]	rinsed with water|scrubbed with brush	X		m	MIXS:0001182	
food-animal and animal feed	coll_site_geo_feat	collection site geographic feature	"Text or terms that describe the geographic feature where the food sample was obtained by the researcher. This field accepts selected terms listed under the following ontologies: anthropogenic geographic feature (http://purl.obolibrary.org/obo/ENVO_00000002), for example agricultural fairground [ENVO:01000986]; garden [ENVO:00000011} or any of its subclasses; market [ENVO:01000987]; water well [ENVO:01000002]; or human construction (http://purl.obolibrary.org/obo/ENVO_00000070)."	ENVO:00000002 or ENVO:00000070	{text}|{termLabel} {[termID]}	grocery store [GENEPIO:0001020]	M		1	MIXS:0001183	
food-food production facility	coll_site_geo_feat	collection site geographic feature	"Text or terms that describe the geographic feature where the food sample was obtained by the researcher. This field accepts selected terms listed under the following ontologies: anthropogenic geographic feature (http://purl.obolibrary.org/obo/ENVO_00000002), for example agricultural fairground [ENVO:01000986]; garden [ENVO:00000011} or any of its subclasses; market [ENVO:01000987]; water well [ENVO:01000002]; or human construction (http://purl.obolibrary.org/obo/ENVO_00000070)."	ENVO:00000002 or ENVO:00000070	{text}|{termLabel} {[termID]}	grocery store [GENEPIO:0001020]	M		1	MIXS:0001183	
food-human foods	coll_site_geo_feat	collection site geographic feature	"Text or terms that describe the geographic feature where the food sample was obtained by the researcher. This field accepts selected terms listed under the following ontologies: anthropogenic geographic feature (http://purl.obolibrary.org/obo/ENVO_00000002), for example agricultural fairground [ENVO:01000986]; garden [ENVO:00000011} or any of its subclasses; market [ENVO:01000987]; water well [ENVO:01000002]; or human construction (http://purl.obolibrary.org/obo/ENVO_00000070)."	ENVO:00000002 or ENVO:00000070	{text}|{termLabel} {[termID]}	grocery store [ENVO:01000984]	M		1	MIXS:0001183	
